Sr_No,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,Location,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Website,Specialties,Facilities,Establised_Year,Emergency_Services,latitude,longitude,total_beds,position_group
6255,Saadat Sarvajanik and Maternity Home,,,,"Tarapur-Borsad Highway, Tarapur","Tarapur-Borsad Highway, Tarapur",Gujarat,Anand,,388180,,,,,,,,,,22.5330654,72.797231,,"22.533, 72.797"
6256,CHC Ode,,,,Ode,Ode,Gujarat,Anand,,388210,,,,,,,,,,22.6236638,73.1143067,,"22.624, 73.114"
6257,CHC Umreth,,,,Umreth,Umreth,Gujarat,Anand,,388220,,,,,,,,,,22.698717,73.1143067,,"22.699, 73.114"
6258,Shree Krishna Hospital,,,,"Kind Att : Mr. Vimal Sing (Cashless Dept.) Gokalnagar,Karamsad,Near Sardar Patel Memorial Trust","Kind Att : Mr. Vimal Sing (Cashless Dept.) Gokalnagar,Karamsad,Near Sardar Patel Memorial Trust,-Anand",Gujarat,Anand,,388325,,,,,,,,,,,,,
6259,Sankara Eye Hospital (Anand),,,,"Mogar Village Nh 8, Taluka","Mogar Village Nh 8, Taluka",Gujarat,Anand,,388340,,,,,,,,,,,,,
6260,CHC Sarsa,,,,Sarsa,Sarsa,Gujarat,Anand,,388365,,,,,,,,,,22.5488076,73.0832541,,"22.549, 73.083"
6261,CHC -Dharmaj,,,,Dharmaj,Dharmaj,Gujarat,Anand,,388430,,,,,,,,,,22.4153201,72.7895065,,"22.415, 72.79"
6262,Arushi Ent Surgical Hospital,,,,"1St Floor, Station Road, Opposite Petrol Pump, Petlad","1St Floor, Station Road, Opposite Petrol Pump, Petlad",Gujarat,Anand,,388450,,,,,,,,,,,,,
6263,Ashish Surgical Hospital,,,,Petlad,Petlad,Gujarat,Anand,,388450,,,,,,,,,,22.4836145,72.801351,,"22.484, 72.801"
6264,Gagan Hospital,,,,"Near Sargam Cinema, Station Road, Petlad","Near Sargam Cinema, Station Road, Petlad",Gujarat,Anand,,388450,,,,,,,,,,,,,
6265,Ishita Hospital and Sonography Centre,,,,"Station Road, Petlad","Station Road, Petlad",Gujarat,Anand,,388450,,,,,,,,,,22.4836145,72.801351,,"22.484, 72.801"
6266,Navjivan Hospital and Sonography Clinic,,,,"Jigar Associates, C/ O Dr. G. K Patel , College Road , Petlad","Jigar Associates, C/ O Dr. G. K Patel, College Road Petlad",Gujarat,Anand,,388450,,,,,,,,,,,,,
6267,Pranav Children Hospital,,,,"G- 8,  Patel Market, Station Road, Petlad","G- 8,  Patel Market, Station Road, Petlad",Gujarat,Anand,,388450,,,,,,,,,,,,,
6268,S.S.H Petlad,,,,Petlad,Petlad,Gujarat,Anand,,388450,,,,,,,,,,22.4704298,72.8046804,,"22.47, 72.805"
6269,Shreyash Eye Hospital,,,,"Petlad, Kheda","Petlad, : Kheda",Gujarat,Anand,,388450,,,,,,,,,,,,,
6270,Tapan Hospital,,,,Petlad,Petlad,Gujarat,Anand,,388450,,,,,,,,,,22.4836145,72.801351,,"22.484, 72.801"
6271,Sunav Hospital,,,,"Anand Sojitra Road, Sunav","Anand Sojitra Road, Sunav",Gujarat,Anand,,388470,,,,,,,,,,22.5319344,72.7936356,,"22.532, 72.794"
6272,CHC Anklav,,,,Anklav,Anklav,Gujarat,Anand,,388510,,,,,,,,,,22.3868748,72.9958886,,"22.387, 72.996"
6273,Rajdeep General Hospital,,,,Anklav,Anklav,Gujarat,Anand,,388510,,,,,,,,,,22.377476,72.9992013,,"22.377, 72.999"
6274,Akshar Surgical Hospital,,,,"Surya Mandir Road, Borsad","Surya Mandir Road, Borsad",Gujarat,Anand,,388540,,,,,,,,,,,,,
6275,Hiral Hospital,,,,"Opp- Borsad Nagrik Bank,Borsad","Opp- Borsad Nagrik Bank,Borsad",Gujarat,Anand,,388540,,,,,,,,,,,,,
6276,Jaideep Eye Hospital,,,,Borsad,Borsad,Gujarat,Anand,,388540,,,,,,,,,,22.4171034,72.896708,,"22.417, 72.897"
6277,Jalaram Hospital,,,,"P.Chandra Tower.1St Floor,Anand Chokdi,Borsad","P.Chandra Tower.1St Floor,Anand Chokdi,Borsad",Gujarat,Anand,,388540,,,,,,,,,,,,,
6278,Krishna Hospital,,,,"Near Amdavadi Darvaja, Baliyadev Road, Borsad","Near Amdavadi Darvaja, Baliyadev Road, Borsad",Gujarat,Anand,,388540,,,,,,,,,,,,,
6279,Mahavir Nursing Home,,,,"Silver Point, Opposite Bus Stand, Borsad","Silver Point, Opposite Bus Stand, Borsad",Gujarat,Anand,,388540,,,,,,,,,,,,,
6280,Maruti Orthopaedic Hospital,,,,Suryamandir Road,Suryamandir Road,Gujarat,Anand,,388540,,,,,,,,,,,,,
6281,Maruti Orthosurgical Hospital,,,,"Sun Temple Road,Borsad","Sun Temple Road,Borsad",Gujarat,Anand,,388540,,,,,,,,,,,,,
6282,Medicare Hospital,,,,"Opposite To Zakli Talav,Near Bus Stand","Opposite To Zakli Talav,Near Bus Stand",Gujarat,Anand,,388540,,,,,,,,,,,,,
6283,Nirmit Hospital,,,,"Nirmit Hospital, Above Satsang Mandal Hall, Patel Chakla, Borsad","Nirmit Hospital, Above Satsang Mandal Hall, Patel Chakla, Borsad. -Anand",Gujarat,Anand,,388540,,,,,,,,,,,,,
6284,Nutan General Hospital,,,,"Mali Chakla, Near Narayandev Mandir, Borsad","Mali Chakla, Near Narayandev Mandir, Borsad, -Anand",Gujarat,Anand,,388540,,,,,,,,,,,,,
6285,Pooja Nursing Home,,,,"Opposite Zakli Talav, Nr. Bus Stand, Borsad","Opposite Zakli Talav, Nr. Bus Stand, Borsad",Gujarat,Anand,,388540,,,,,,,,,,,,,
6286,Priya Hospital,,,,"Gandhiganj, Borsad","Gandhiganj, Borsad",Gujarat,Anand,,388540,,,,,,,,,,22.4171034,72.896708,,"22.417, 72.897"
6287,Roberts Mission Hospital,,,,Borsad,Borsad,Gujarat,Anand,,388540,,,,,,,,,,22.4171034,72.896708,,"22.417, 72.897"
6288,Shahhvat Children Hospital,,,,Borsad,Borsad,Gujarat,Anand,,388540,,,,,,,,,,22.4171034,72.896708,,"22.417, 72.897"
6289,Sharddha Hospital,,,,"C/O. The Excellent English Medium School Complex, At. Vahera, Borsad","C/O. The Excellent English Medium School Complex, At. Vahera, Borsad",Gujarat,Anand,,388540,,,,,,,,,,22.4256139,72.8840395,,"22.426, 72.884"
6290,Shishu Mangal Hospital,,,,Borsad,Borsad,Gujarat,Anand,,388540,,,,,,,,,,22.4171034,72.896708,,"22.417, 72.897"
6291,Shree Datt General Hospital,,,,"Manglam ,OppositeBaliyadev Mandir, Borsad,:Anand","Manglam,OppositeBaliyadev Mandir, Borsad,:Anand",Gujarat,Anand,,388540,,,,,,,,,,22.4171034,72.896708,,"22.417, 72.897"
6292,Unity General Hospital,,,,"Sardar Chowk, S.T Bus Stand, Borsad","Sardar Chowk, S.T Bus Stand, Borsad",Gujarat,Anand,,388540,,,,,,,,,,,,,
6293,Vyom Ent Hospital,,,,Suryamandir Road,Suryamandir Road,Gujarat,Anand,,388540,,,,,,,,,,,,,
6294,CHC Ras,,,,Ras,Ras,Gujarat,Anand,,388570,,,,,,,,,,22.3438474,72.8332695,,"22.344, 72.833"
6295,Cambay General Hospital,,,,"Bethak Road, Near Lal Darwaja, Khambat","Bethak Road, Near Lal Darwaja, Khambat",Gujarat,Anand,,388620,,,,,,,,,,22.3261603,72.6219437,,"22.326, 72.622"
6296,Cardiac Care Center,,,,"Bethak Road, Khambhat","Bethak Road, Khambhat",Gujarat,Anand,,388620,,,,,,,,,,22.3308288,72.6234847,,"22.331, 72.623"
6297,CHC Khambhat,,,,Khambhat,Khambhat,Gujarat,Anand,,388620,,,,,,,,,,22.3262893,72.6297155,,"22.326, 72.63"
6298,Chintan Hospital,,,,"Power House Road,Khambhat","Power House Road,Khambhat",Gujarat,Anand,,388620,,,,,,,,,,,,,
6299,Dr. Ankur Raval Hospital,,,,"Near Dave Hospital, Khambhat","Near Dave Hospital, Khambhat",Gujarat,Anand,,388620,,,,,,,,,,,,,
6300,Gargi Ortho. Hospital,,,,"Doctors`S Campus, Station Road, Khambhat","Doctors`S Campus, Station Road, Khambhat",Gujarat,Anand,,388620,,,,,,,,,,,,,
6301,Kusum Children Hospital,,,,"Doctor`S Campus, Station Road, Khambhat","Doctor`S Campus, Station Road, Khambhat",Gujarat,Anand,,388620,,,,,,,,,,,,,
6302,L.B Rao Maternity Hospital,,,,"Near Sardar Tower, Khambhat","Near Sardar Tower, Khambhat",Gujarat,Anand,,388620,,,,,,,,,,,,,
6303,Manish Surgical Hospital,,,,"Station Road, Khambhat","Station Road, Khambhat",Gujarat,Anand,,388620,,,,,,,,,,,,,
6304,Nirmal Orthopaedic Hospital,,,,"Near S T Stand, Cambay, Khambhat","Near S T Stand, Cambay, Khambhat",Gujarat,Anand,,388620,,,,,,,,,,22.3213797,72.6262791,,"22.321, 72.626"
6305,Sanjivani Hospital,,,,"F/904/2, Hariom,Saifee Baug,Nr.Tin Batti","F/904/2, Hariom,Saifee Baug,Nr.Tin Batti",Gujarat,Anand,,388620,,,,,,,,,,,,,
6306,Shakti Children Hospital,,,,Khambhat,Khambhat,Gujarat,Anand,,388620,,,,,,,,,,22.3180817,72.6189845,,"22.318, 72.619"
6307,Shri Maneklal Mohanlal Parikh Cardiac Care Centre,,,,"Bethak Road,Khambhat","Bethak Road,Khambhat",Gujarat,Anand,,388620,,,,,,,,,,22.3308288,72.6234847,,"22.331, 72.623"
6308,Smt.Lilavatiben Bhagwatilal Rao General Hospital,,,,Khambhat,Khambhat,Gujarat,Anand,,388620,,,,,,,,,,22.3180817,72.6189845,,"22.318, 72.619"
6309,Vira Hospital,,,,"Doctors Campus, Station Road, Khambhat","Doctors Campus, Station Road, Khambhat",Gujarat,Anand,,388620,,,,,,,,,,,,,
6310,Vishrut Surgical Hospital,,,,"Dhokalkui, Khambhat","Dhokalkui, Khambhat",Gujarat,Anand,,388620,,,,,,,,,,22.3180817,72.6189845,,"22.318, 72.619"
6311,Aarti Hospital and Maternity Home,,,,Near Railway Bridge Doctor House Area Palanpur,Near Railway Bridge Doctor House Area Palanpur,Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6312,Aastha Ortho and Fracture Hospital,,,,"Doctor House, Nr.Railwaybridge, Palanpur","Doctor House, Nr.Railwaybridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6313,Aastha Orthopaedic Hospital,,,,"Near Railway Overbridge, Doctor House, Palanpur","Near Railway Overbridge, Doctor House, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6314,Abha Eyes Hospital,,,,"Near-Kirti Stambh, Cross Road, Palanpur","Near-Kirti Stambh, Cross Road, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6315,Aman Phaco Surgery,,,,57 Balram Soc Nr Railway Bridge Near Mangalm City Scan Shahibag Palanpur,57 Balram Soc Nr Railway Bridge Near Mangalm City Scan Shahibag Palanpur,Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6316,Arti Hospital and Maternity Home,,,,"1St Floor,Sagar Hospital Dr. Amrutbhai A.Patel","1St Floor,Sagar Hospital Dr. Amrutbhai A.Patel",Gujarat,Banas kantha,,385001,,,,,,,,,,,,,
6317,"Ashirwad Hospital,Banaskantha",,,,"Aashirwad Hospital Building,Nr.Railwaybridge,Shahibaug,Palanpur","Aashirwad Hospital Building,Nr.Railwaybridge,Shahibaug,Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6318,Astha Orthopaedic and Fracturehospital,,,,Dctor House Near Railway Bridge Palanpur,Dctor House Near Railway Bridge Palanpur,Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6319,Avm Surgical Hospital,,,,"Gathaman Gate, Near Wafur Tank, Palanpur","Gathaman Gate, Near Wafur Tank, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6320,Bavishi Hospital,,,,"Doctor House, Nr.Railway Overbridge, Palanpur","Doctor House, Nr.Railway Overbridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6321,Civil Hospital,,,,"Civil Hospital, Palanpur","Civil Hospital, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6322,Desai Hospital,,,,"Nr.Railwaybridge, Palanpur","Nr.Railwaybridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,21.2041104,72.8412563,,"21.204, 72.841"
6323,Dharti Hospital- Palanpur,,,,"Shantisadan Complex, Kirtisthambh, Palanpur","Shantisadan Complex, Kirtisthambh, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6324,Female Hospital,,,,Palanpur,Palanpur,Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6325,Guru Orthopeadic Hospital,,,,"Nr. Aroma Circle, Highway Char Rasta, Palanpur","Nr. Aroma Circle, Highway Char Rasta, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6326,Isha Heart and Medical Hospital,,,,"OppositeDistrict Panchayat Quatas, Gathaman Darwaja, Amir Road, Palanpur","OppositeDistrict Panchayat Quatas, Gathaman Darwaja, Amir Road, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.1717485,72.4350053,,"24.172, 72.435"
6327,Jain Children and Surgical Hospital,,,,"Near Petrol Pump, Gathaman Gate, Palanpur","Near Petrol Pump, Gathaman Gate, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.1594553,72.4058875,,"24.159, 72.406"
6328,Jay Eye Hospital,,,,"Near Railway Station, Palanpur","Near Railway Station, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,21.2049118,72.839214,,"21.205, 72.839"
6329,Jeevandeep Children Hospital,,,,"Nr. Doctor House, Nr. Railway Bridge, Palanpur","Nr. Doctor House, Nr. Railway Bridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6330,Joshi Hospital - Palanpur,,,,"Gathaman Gate, Palanpur","Gathaman Gate, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.1594553,72.4058875,,"24.159, 72.406"
6331,Karnavat Sugical Hospital,,,,"Madhav Chember, Girdhar Patel Marg, Gurunanak Chowk, Palanpur","Madhav Chember, Girdhar Patel Marg, Gurunanak Chowk, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6332,Kidney Care Hospital,,,,"Nr.Rly Bridge, Above Meeta Hospital, Palanpur","Nr.Rly Bridge, Above Meeta Hospital, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6333,Kosha E N T Hospital,,,,"Ramlila Ground Road, Nr.Gurunank Chowk, Nr.Railwaybridge, Palanpur","Ramlila Ground Road, Nr.Gurunank Chowk, Nr.Railwaybridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6334,Krishna Hospital and Prasuti Gruh,,,,"Nr.Gaytri Temple, Gulbani Nagar, Old S.T.Station Road","Nr.Gaytri Temple, Gulbani Nagar, Old S.T.Station Road",Gujarat,Banas kantha,,385001,,,,,,,,,,,,,
6335,Lions Club Of Charitable Trust,,,,"Gobri Road, Palanpur","Gobri Road, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.159609,72.4326297,,"24.16, 72.433"
6336,Mahek Ent Hospital,,,,"Second Floor,Above Meeta Hospital,Nr.Railway Bridge,Palanpur","Second Floor,Above Meeta Hospital,Nr.Railway Bridge,Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6337,Mahesh Eye Hospital,,,,"Vikar Commercial Center, Kirtistabh, Palanpur","Vikar Commercial Center, Kirtistabh, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6338,Meeta Hospital,,,,"Nr.Balaram Society, Overbridge, Palanpur","Nr.Balaram Society, Overbridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6339,Naval Hospital,,,,"Kirti Chamber, First Floor, Opp-Taluka Panchayat, Kirtistambh Road, Palanpur","Kirti Chamber, First Floor, Opp-Taluka Panchayat, Kirtistambh Road, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6340,Navdeep Hospital,,,,"Near Railway Bridhe, Palanpur","Near Railway Bridhe, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,21.2041104,72.8412563,,"21.204, 72.841"
6341,Nikhar Surgical Hospital,,,,"Pataleshwar Complex, Kirtistambh, Nr.Primary School, Palanpur","Pataleshwar Complex, Kirtistambh, Nr.Primary School, Palanpur.",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6342,Palanpur Female Hospital,,,,"Delhi Gate, Palanpur","Delhi Gate, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.1721621,72.4372801,,"24.172, 72.437"
6343,Parth Orthopaedic Hospital,,,,"Near Railway Overbridge, Shahibag, Palanpur","Near Railway Overbridge, Shahibag, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6344,Pruthvi Hospital,,,,Gathaman Gate Suresh Mehta Cross Road Palanpur,Gathaman Gate Suresh Mehta Cross Road Palanpur,Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6345,Ruchi Heart and Medical Hospital,,,,"Off Sindhi Colony, Guru Nanak Chowk","Off Sindhi Colony, Guru Nanak Chowk",Gujarat,Banas kantha,,385001,,,,,,,,,,,,,
6346,Saarthi Surgical Hospital and Endoscopy Centre,,,,"Paulomi House, Nr Rlyway Bridge, Palanpur","Paulomi House, Nr Rlyway Bridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6347,Sagar Orthopaedic Hospital,,,,"Doctor House, Nr.Railwaybridge, Palanpur","Doctor House, Nr.Railwaybridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6348,Sanghavi Hospital,,,,"Doctorhouse, Nr.Railwaybridge, Palanpur","Doctorhouse, Nr.Railwaybridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6349,Sanjeevani Surgical Hospital,,,,"Second Floor, Prabhuprem Building, Above Neha Sonography, Palanpur","Second Floor, Prabhuprem Building, Above Neha Sonography, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6350,Sarathi Multi Speciality Hospital Pvt. Ltd.,,,,"Paulomi House,Near Railway Bridge","Paulomi House,Near Railway Bridge",Gujarat,Banas kantha,,385001,,,,,,,,,,,,,
6351,Shah Heart and Medical Hospital,,,,"Near Kirtistambh, Palanpur","Near Kirtistambh, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6352,Shivam Heart Care Hospital,,,,"Nr.Railwaybridge,OppositeRamlila Ground,Palanpur","Nr.Railwaybridge,OppositeRamlila Ground,Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6353,Shree Tmsj and Shah Mm Eye Hospital,,,,"Gathaman Gate, Palanpur","Gathaman Gate, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.1594553,72.4058875,,"24.159, 72.406"
6354,Shubh Jayanti Lions Orthopaedic Hospital,,,,"Arvind Marg, Gobri Road, Palanpur","Arvind Marg, Gobri Road, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.159609,72.4326297,,"24.16, 72.433"
6355,"Suraj Hospital, Banaskantha",,,,"Dr.Girdhar Patel Marg, Gurunanak Chowk, Palanpur","Dr.Girdhar Patel Marg, Gurunanak Chowk, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6356,Sushrut Surgical Hospital,,,,"Balaram Society, Near Docter House, Beside Railway Bridge, Palanpur","Balaram Society, Near Docter House, Beside Railway Bridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6357,Unnati E N T Hospital,,,,2Nd Floor Above Sanghavi Hospital Doctor House Beside Railway Overbridge Palanpur,2Nd Floor Above Sanghavi Hospital Doctor House Beside Railway Overbridge Palanpur,Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6358,Upvan Hospital and Laparoscopy Center,,,,"Gurusadan, Nr.Lic Office, Jagana Road, Palanpur","Gurusadan, Nr.Lic Office, Jagana Road, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6359,Usha Surgical Hospital,,,,"Umiyadeep Building, Second Floor, Gurunanak Chowk, Palanpur","Umiyadeep Building, Second Floor, Gurunanak Chowk, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6360,Vatsalya Maternity and Gynaec Hospital,,,,"OppositeDistrict Panchayat Quatas, Gathaman Darwaja, Amir Road, Palanpur","OppositeDistrict Panchayat Quatas, Gathaman Darwaja, Amir Road, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.1717485,72.4350053,,"24.172, 72.435"
6361,Zaveri Mangalji Vamalshi Dispensary andShree L.L.Parikh and Shri C.L.Parikh Hospital,,,,Delhi Gate Palanpur,Delhi Gate Palanpur,Gujarat,Banas kantha,,385001,,,,,,,,,,24.1721621,72.4372801,,"24.172, 72.437"
6362,Zudal Surgical and Gynec Hospital,,,,"OppositeDoctor House, Nr.Railway Bridge, Palanpur","OppositeDoctor House, Nr.Railway Bridge, Palanpur",Gujarat,Banas kantha,,385001,,,,,,,,,,24.174051,72.4330989,,"24.174, 72.433"
6363,"Mahavir Hospital, Banaskantha",,,,"Taluka-Danta, District-B'kantha","Taluka-Danta, District-B'kantha",Gujarat,Banas kantha,,385120,,,,,,,,,,,,,
6364,Kesharba Hospital,,,,"Shivaji Estate, Station Road, Dhanera","Shivaji Estate, Station Road, Dhanera",Gujarat,Banas kantha,,385310,,,,,,,,,,,,,
6365,Kiranraj Hospital and Maternity Pvt. Ltd,,,,"1St Floor, Hariom Shopping Center, Station Road, Dhanera","1St Floor, Hariom Shopping Center, Station Road, Dhanera",Gujarat,Banas kantha,,385310,,,,,,,,,,,,,
6366,Mangal Multi Speciality Hospital,,,,"Opposite Banas Dairy, Deesa Road, Dhanera","Opposite Banas Dairy, Deesa Road, Dhanera",Gujarat,Banas kantha,,385310,,,,,,,,,,,,,
6367,Prerana Heart and Medical Hospital,,,,"Highway, Near Hanuman Temple, Three Roads, Dhanera","Highway, Near Hanuman Temple, Three Roads, Dhanera",Gujarat,Banas kantha,,385310,,,,,,,,,,,,,
6368,Ratan Prastrutigruh Nursing Home,,,,"Opposite Petrol Pump, Dhanera","Opposite Petrol Pump, Dhanera",Gujarat,Banas kantha,,385310,,,,,,,,,,,,,
6369,Saraswati Hospital,,,,"Saraswati Hospital, Near Hanuman Mandir Hiway Road, , Dhanera, B.K","Saraswati Hospital, Near Hanuman Mandir Hiway Road, Dhanera, B.K",Gujarat,Banas kantha,,385310,,,,,,,,,,,,,
6370,Lions Club Of Bhabhar Charitable Trust,,,,"Vav Road ,Bhabhar","Vav Road,Bhabhar",Gujarat,Banas kantha,,385320,,,,,,,,,,24.0703321,71.5990999,,"24.07, 71.599"
6371,Gayatri Maternity and Surgical Hospital,,,,"Jalaram Park, B/H State Bank Of India, Deodar","Jalaram Park, B/H State Bank Of India, Deodar",Gujarat,Banas kantha,,385330,,,,,,,,,,,,,
6372,Godavri Maternity and Surgical Hospital,,,,Jalaram Park Society,Jalaram Park Society,Gujarat,Banas kantha,,385330,,,,,,,,,,,,,
6373,Aadarsh Children Hospital,,,,"Aadarsh Complex, Nr.Gayatri Temple, High-Way, Deesa","Aadarsh Complex, Nr.Gayatri Temple, High-Way, Deesa.B'kantha",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6374,Aakar Hospital,,,,"Opposite Gayatri Temple Highway, Banaskantha, Deesa","Opposite Gayatri Temple Highway, Banaskantha, Deesa",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6375,Aarti Maternity and Surgical Hospital,,,,"OppositeGayatri Temple, Green House, Highway, Deesa","OppositeGayatri Temple, Green House, Highway, Deesa, B'kantha",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6376,Adarsh Children Hospital,,,,"Adarsh Complex Highway, Deesa","Adarsh Complex Highway, Deesa",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6377,Agrawal Children Hospital,,,,"OppositeGayatri Temple, Highway, Deesa","OppositeGayatri Temple, Highway, Deesa, B'kantha",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6378,Anand Hospital,,,,"Near Jalaram Mandir,Near Jalaram Temple Highway","Near Jalaram Mandir,Near Jalaram Temple Highway",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6379,Ashirvad Orthopaedic Hospital,,,,"B/H Pooja X Ray, Opp To Gayathri Temple,Highway Deesa","B/H Pooja X Ray, Opp To Gayathri Temple,Highway Deesa",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6380,Dharti Hospital,,,,"Highway Road, Opposite Gayatri Mandir","Highway Road, Opposite Gayatri Mandir",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6381,Eve Women Care Hospital,,,,"Opposite Gayatri Temple, Deesa","Opposite Gayatri Temple, Deesa",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6382,Gandhi Lincoln Hospital,,,,"Nr. Muncipal Garden, Deesa","Nr. Muncipal Garden, Deesa",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6383,Gopi Maternity and Gynaec Hospital,,,,"Opp : Gayatri Manadir, Highway, Deesa","Opp : Gayatri Manadir, Highway, Deesa",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
6384,Harnish Hospital,,,,"Shree Ram Complex, B/H Green House, OppositeGayatri Temple, Deesa","Shree Ram Complex, B/H Green House, OppositeGayatri Temple, Deesa",Gujarat,Banas kantha,,385535,,,,,,,,,,,,,
